time	T hot	T cold	mBar
16:06:32	2000	2000	51
16:06:33	2000	2000	49
16:06:35	2000	2000	50
16:06:36	2000	2000	-938
16:06:38	2000	2000	-941
16:06:39	2000	2000	-941
16:06:41	2000	2000	-941
16:06:43	2000	2000	-943
16:06:44	2000	2000	-943
16:06:46	2000	2000	-943
16:06:47	2000	2000	-943
16:06:49	2000	2000	-943
16:06:50	2000	2000	-943
16:06:52	2000	2000	-940
16:06:54	2000	2000	-941
16:06:55	2000	2000	-943
16:06:57	2000	2000	-943
16:06:58	2000	2000	-944
16:07:00	2000	2000	-941
16:07:01	2000	2000	-944
16:07:03	2000	2000	-941
16:07:05	2000	2000	-943
16:07:06	2000	2000	-941
16:07:08	2000	2000	-941
16:07:09	2000	2000	-941
16:07:11	2000	2000	-940
16:07:12	2000	2000	-940
16:07:14	2000	2000	-939
16:07:16	2000	2000	-940
16:07:17	2000	2000	-936
16:07:19	2000	2000	-939
16:07:20	2000	2000	-939
16:07:22	2000	2000	-938
16:07:23	2000	2000	-938
16:07:25	2000	2000	-938
16:07:27	2000	2000	-936
16:07:28	2000	2000	-938
16:07:30	2000	2000	49
16:07:31	2000	2000	49
16:07:33	2000	2000	50
